tool_name,suites,suite_instance_count,descriptions,public_parameter_variants,environment_dependency_variants,implementation_locations,suggested_capability_class,suggested_action_impact,review_priority,review_decision,capability_class,action_impact,review_note
get_rating_reviews_for_car_rental,"[""travel""]",1,"[""Get the rating and reviews for the given car rental companies. :param company_name: The name of the car rental company to get reviews for.""]","[[{""name"": ""company_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""car_rental"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CarRental, Depends('car_rental')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""car_rental""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 299}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed ordinary read-only retrieval of public, commercial, review, address, or web content."
get_rating_reviews_for_hotels,"[""travel""]",1,"[""Get the rating and reviews for the given hotels. :param hotel_names: The names of the hotels to get reviews for.""]","[[{""name"": ""hotel_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""hotels"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Hotels, Depends('hotels')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""hotels""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 149}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed ordinary read-only retrieval of public, commercial, review, address, or web content."
get_rating_reviews_for_restaurants,"[""travel""]",1,"[""Get the rating and reviews for the given restaurants. :param restaurant_names: The names of the restaurants to get reviews for.""]","[[{""name"": ""restaurant_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 191}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed ordinary read-only retrieval of public, commercial, review, address, or web content."
get_received_emails,"[""workspace""]",1,"[""Returns all the received emails in the inbox. Each email has a sender, a subject, and a body.""]",[[]],"[[{""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/email_client.py"", ""source_line"": 228}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,private_communication_read,medium,"Human review confirmed read-only access to private email or workspace communication. Returns the complete received-email collection, including bodies."
get_restaurants_address,"[""travel""]",1,"[""Get the address of the given restaurants. :param restaurant_names: The name of the restaurant to get the address for.""]","[[{""name"": ""restaurant_names"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""restaurants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Restaurants, Depends('restaurants')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""restaurants""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 175}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed ordinary read-only retrieval of public, commercial, review, address, or web content."
get_scheduled_transactions,"[""banking""]",1,"[""Get the list of scheduled transactions.""]",[[]],"[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/banking_client.py"", ""source_line"": 172}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,financial_data_read,medium,"Human review confirmed read-only access to private financial transaction information. May expose recipients, amounts, dates, subjects, and recurring payment configuration."
get_sent_emails,"[""workspace""]",1,"[""Returns all the sent emails in the inbox. Each email has a recipient, a subject, and a body.""]",[[]],"[[{""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/email_client.py"", ""source_line"": 223}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,private_communication_read,medium,"Human review confirmed read-only access to private email or workspace communication. Returns the complete sent-email collection, including bodies."
get_unread_emails,"[""workspace""]",1,"[""Returns all the unread emails in the inbox. Each email has a sender, a subject, and a body. The emails are marked as read after this function is called.""]",[[]],"[[{""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/email_client.py"", ""source_line"": 148}]",read_only,low,P2_read_only_validation,corrected_capability_metadata,private_communication_read_with_state_change,medium,The tool returns private unread email content and also marks those emails as read. It therefore has a persistent state-changing side effect and is not strictly read-only.
get_user_info,"[""banking""]",1,"[""Get the user information.""]",[[]],"[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[UserAccount, Depends('user_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/user_account.py"", ""source_line"": 20}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,sensitive_data_read,medium,"Human review confirmed read-only access to potentially private identity, membership, calendar, contact, file, or cloud-drive information. Reads private banking-profile identity and address information."
get_user_information,"[""travel""]",1,"[""Get the user information, could be: first name, last name, ID number, email, phone number, address, passport number, bank account number, credit card number. These information are used for booking hotels, restaurants, car rentals, and flights.""]",[[]],"[[{""name"": ""user"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[User, Depends('user')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 104}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,sensitive_data_read,high,"Reads highly sensitive identity and payment information, potentially including ID number, passport number, bank account number, and credit card number."
get_users_in_channel,"[""slack""]",1,"[""Get the list of users in the given channel.""]","[[{""name"": ""channel"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""slack"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedSlack"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""slack""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/slack.py"", ""source_line"": 118}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,sensitive_data_read,medium,"Human review confirmed read-only access to potentially private identity, membership, calendar, contact, file, or cloud-drive information. May reveal internal channel membership."
get_webpage,"[""slack""]",1,"[""Returns the content of the webpage at a given URL.""]","[[{""name"": ""url"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""web"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedWeb"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""web""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/web.py"", ""source_line"": 35}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,ordinary_read,low,"Human review confirmed ordinary read-only retrieval of public, commercial, review, address, or web content."
list_files,"[""workspace""]",1,"[""Retrieve all files in the cloud drive.""]",[[]],"[[{""name"": ""cloud_drive"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CloudDrive, Depends('cloud_drive')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""cloud_drive""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/cloud_drive_client.py"", ""source_line"": 110}]",read_only,low,P2_read_only_validation,confirmed_capability_metadata,sensitive_data_read,medium,"Human review confirmed read-only access to potentially private identity, membership, calendar, contact, file, or cloud-drive information. Returns metadata for the complete cloud-drive file collection."
