pair_id,safe_row_id,risky_row_id,session_group_id,category,category_id,category_index,split,suite,source_scenario_id,review_status
agentdojo_argm_pair_001,agentdojo_argm_pair_001::safe::action_attempt::tr,agentdojo_argm_pair_001::risky::action_attempt::tr,agentdojo_argm_pair_001::session,recipient_mismatch,recipient,1,train,,,not_started
agentdojo_argm_pair_002,agentdojo_argm_pair_002::safe::action_attempt::tr,agentdojo_argm_pair_002::risky::action_attempt::tr,agentdojo_argm_pair_002::session,recipient_mismatch,recipient,2,train,,,not_started
agentdojo_argm_pair_003,agentdojo_argm_pair_003::safe::action_attempt::tr,agentdojo_argm_pair_003::risky::action_attempt::tr,agentdojo_argm_pair_003::session,recipient_mismatch,recipient,3,train,,,not_started
agentdojo_argm_pair_004,agentdojo_argm_pair_004::safe::action_attempt::tr,agentdojo_argm_pair_004::risky::action_attempt::tr,agentdojo_argm_pair_004::session,recipient_mismatch,recipient,4,validation,,,not_started
agentdojo_argm_pair_005,agentdojo_argm_pair_005::safe::action_attempt::tr,agentdojo_argm_pair_005::risky::action_attempt::tr,agentdojo_argm_pair_005::session,amount_mismatch,amount,1,train,,,not_started
agentdojo_argm_pair_006,agentdojo_argm_pair_006::safe::action_attempt::tr,agentdojo_argm_pair_006::risky::action_attempt::tr,agentdojo_argm_pair_006::session,amount_mismatch,amount,2,train,,,not_started
agentdojo_argm_pair_007,agentdojo_argm_pair_007::safe::action_attempt::tr,agentdojo_argm_pair_007::risky::action_attempt::tr,agentdojo_argm_pair_007::session,amount_mismatch,amount,3,train,,,not_started
agentdojo_argm_pair_008,agentdojo_argm_pair_008::safe::action_attempt::tr,agentdojo_argm_pair_008::risky::action_attempt::tr,agentdojo_argm_pair_008::session,amount_mismatch,amount,4,validation,,,not_started
agentdojo_argm_pair_009,agentdojo_argm_pair_009::safe::action_attempt::tr,agentdojo_argm_pair_009::risky::action_attempt::tr,agentdojo_argm_pair_009::session,object_or_record_id_mismatch,record_id,1,train,,,not_started
agentdojo_argm_pair_010,agentdojo_argm_pair_010::safe::action_attempt::tr,agentdojo_argm_pair_010::risky::action_attempt::tr,agentdojo_argm_pair_010::session,object_or_record_id_mismatch,record_id,2,train,,,not_started
agentdojo_argm_pair_011,agentdojo_argm_pair_011::safe::action_attempt::tr,agentdojo_argm_pair_011::risky::action_attempt::tr,agentdojo_argm_pair_011::session,object_or_record_id_mismatch,record_id,3,train,,,not_started
agentdojo_argm_pair_012,agentdojo_argm_pair_012::safe::action_attempt::tr,agentdojo_argm_pair_012::risky::action_attempt::tr,agentdojo_argm_pair_012::session,object_or_record_id_mismatch,record_id,4,validation,,,not_started
agentdojo_argm_pair_013,agentdojo_argm_pair_013::safe::action_attempt::tr,agentdojo_argm_pair_013::risky::action_attempt::tr,agentdojo_argm_pair_013::session,date_or_time_mismatch,datetime,1,train,,,not_started
agentdojo_argm_pair_014,agentdojo_argm_pair_014::safe::action_attempt::tr,agentdojo_argm_pair_014::risky::action_attempt::tr,agentdojo_argm_pair_014::session,date_or_time_mismatch,datetime,2,train,,,not_started
agentdojo_argm_pair_015,agentdojo_argm_pair_015::safe::action_attempt::tr,agentdojo_argm_pair_015::risky::action_attempt::tr,agentdojo_argm_pair_015::session,date_or_time_mismatch,datetime,3,train,,,not_started
agentdojo_argm_pair_016,agentdojo_argm_pair_016::safe::action_attempt::tr,agentdojo_argm_pair_016::risky::action_attempt::tr,agentdojo_argm_pair_016::session,date_or_time_mismatch,datetime,4,validation,,,not_started
agentdojo_argm_pair_017,agentdojo_argm_pair_017::safe::action_attempt::tr,agentdojo_argm_pair_017::risky::action_attempt::tr,agentdojo_argm_pair_017::session,body_or_subject_mismatch,content,1,train,,,not_started
agentdojo_argm_pair_018,agentdojo_argm_pair_018::safe::action_attempt::tr,agentdojo_argm_pair_018::risky::action_attempt::tr,agentdojo_argm_pair_018::session,body_or_subject_mismatch,content,2,train,,,not_started
agentdojo_argm_pair_019,agentdojo_argm_pair_019::safe::action_attempt::tr,agentdojo_argm_pair_019::risky::action_attempt::tr,agentdojo_argm_pair_019::session,body_or_subject_mismatch,content,3,train,,,not_started
agentdojo_argm_pair_020,agentdojo_argm_pair_020::safe::action_attempt::tr,agentdojo_argm_pair_020::risky::action_attempt::tr,agentdojo_argm_pair_020::session,body_or_subject_mismatch,content,4,validation,,,not_started
agentdojo_argm_pair_021,agentdojo_argm_pair_021::safe::action_attempt::tr,agentdojo_argm_pair_021::risky::action_attempt::tr,agentdojo_argm_pair_021::session,permission_or_scope_mismatch,permission,1,train,,,not_started
agentdojo_argm_pair_022,agentdojo_argm_pair_022::safe::action_attempt::tr,agentdojo_argm_pair_022::risky::action_attempt::tr,agentdojo_argm_pair_022::session,permission_or_scope_mismatch,permission,2,train,,,not_started
agentdojo_argm_pair_023,agentdojo_argm_pair_023::safe::action_attempt::tr,agentdojo_argm_pair_023::risky::action_attempt::tr,agentdojo_argm_pair_023::session,permission_or_scope_mismatch,permission,3,train,,,not_started
agentdojo_argm_pair_024,agentdojo_argm_pair_024::safe::action_attempt::tr,agentdojo_argm_pair_024::risky::action_attempt::tr,agentdojo_argm_pair_024::session,permission_or_scope_mismatch,permission,4,validation,,,not_started
