seed_id,category,category_cluster,content,review_decision,review_note
banking77_0e218b9c9fcfed75,Refund_not_showing_up,0,I am still waiting for a refund,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_e42fe25413876739,activate_my_card,0,How do I activate my new card,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_a9557c1b72c4ea6c,age_limit,0,How old do my kids have to be to use your service?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_ec4ca5cb5bc25ee6,apple_pay_or_google_pay,0,My Google pay top up isn't working.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_600a500ca2ec44d6,atm_support,0,Which ATMs accept this card?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_216067cbd758099a,automatic_top_up,0,How do i set up auto top-up?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_4cc35ed5f4ce22d3,balance_not_updated_after_bank_transfer,0,My bank transfer is still not showing up in my account.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_6097d9b3c72024db,balance_not_updated_after_cheque_or_cash_deposit,0,Why isn't my cash deposit showing up in my account?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_cd22467b13cc9805,beneficiary_not_allowed,0,A transfer to an account was not allowed,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_a7d41205167fcc3a,cancel_transfer,0,Can I cancel a transfer,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_b5053747969370b5,card_about_to_expire,0,"My card will expire soon, When do I need to order a new one?",benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_1c471ce959649fb8,card_acceptance,0,What places can I use my card?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_7819fb5715f00f64,card_arrival,0,My card hasn't arrived yet.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_24bd395d8cb3d19c,card_delivery_estimate,0,I need my card as soon as possible.,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_74469c40632d2fa0,card_linking,0,I found my old card. Can I link it back into the app?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_2bccf6ebb56e3e97,card_not_working,0,My card is broken,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_fc3ad149a59e69e6,card_payment_fee_charged,0,Why was I charged an extra fee when paying with my card?,benign_customer_language_seed,"Ordinary benign banking customer-support request with no prompt injection, instruction-hierarchy override, or malicious intent."
banking77_581d9c9115520fdb,card_payment_not_recognised,0,There is a payment I don't recognize,sensitive_but_benign_customer_language,"Clearly benign customer-support language, but contains security-sensitive content such as unauthorized activity, card compromise, PIN handling, or personal-information modification. Valuable as a hard-negative seed."
