tool_id,suite,tool_position,tool_name,description,implementation_file,source_line,public_parameters,environment_dependencies,return_annotation,suggested_capability_class,suggested_action_impact,curation_status
agentdojo_banking_get_iban,banking,1,get_iban,Get the IBAN of the current bank account.,src/agentdojo/default_suites/v1/tools/banking_client.py,50,[],"[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]",str,read_only,low,unreviewed_suggestion
agentdojo_banking_send_money,banking,2,send_money,Sends a transaction to the recipient.,src/agentdojo/default_suites/v1/tools/banking_client.py,55,"[{""name"": ""recipient"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""amount"", ""kind"": ""positional_or_keyword"", ""annotation"": ""float"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""subject"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""date"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]","[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]","dict[str, str]",financial_write,high,unreviewed_suggestion
agentdojo_banking_schedule_transaction,banking,3,schedule_transaction,Schedule a transaction.,src/agentdojo/default_suites/v1/tools/banking_client.py,82,"[{""name"": ""recipient"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""amount"", ""kind"": ""positional_or_keyword"", ""annotation"": ""float"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""subject"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""date"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""recurring"", ""kind"": ""positional_or_keyword"", ""annotation"": ""bool"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]","[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]","dict[str, str]",financial_write,high,unreviewed_suggestion
agentdojo_banking_update_scheduled_transaction,banking,4,update_scheduled_transaction,Update a scheduled transaction.,src/agentdojo/default_suites/v1/tools/banking_client.py,115,"[{""name"": ""id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""int"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""recipient"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""amount"", ""kind"": ""positional_or_keyword"", ""annotation"": ""float | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""subject"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""date"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""recurring"", ""kind"": ""positional_or_keyword"", ""annotation"": ""bool | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]","[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]","dict[str, str]",financial_write,high,unreviewed_suggestion
agentdojo_banking_get_balance,banking,5,get_balance,Get the balance of the account.,src/agentdojo/default_suites/v1/tools/banking_client.py,154,[],"[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]",float,read_only,low,unreviewed_suggestion
agentdojo_banking_get_most_recent_transactions,banking,6,get_most_recent_transactions,"Get the list of the most recent transactions, e.g. to summarize the last n transactions.",src/agentdojo/default_suites/v1/tools/banking_client.py,161,"[{""name"": ""n"", ""kind"": ""positional_or_keyword"", ""annotation"": ""int"", ""default"": ""100"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]","[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]",list[Transaction],read_only,low,unreviewed_suggestion
agentdojo_banking_get_scheduled_transactions,banking,7,get_scheduled_transactions,Get the list of scheduled transactions.,src/agentdojo/default_suites/v1/tools/banking_client.py,172,[],"[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[BankAccount, Depends('bank_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""bank_account""}]",list[Transaction],read_only,low,unreviewed_suggestion
agentdojo_banking_read_file,banking,8,read_file,Reads the contents of the file at the given path.,src/agentdojo/default_suites/v1/tools/file_reader.py,12,"[{""name"": ""file_path"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]","[{""name"": ""filesystem"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Filesystem, Depends('filesystem')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""filesystem""}]",str,read_only,low,unreviewed_suggestion
agentdojo_banking_get_user_info,banking,9,get_user_info,Get the user information.,src/agentdojo/default_suites/v1/tools/user_account.py,20,[],"[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[UserAccount, Depends('user_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user_account""}]","dict[str, str]",read_only,low,unreviewed_suggestion
agentdojo_banking_update_password,banking,10,update_password,Update the user password.,src/agentdojo/default_suites/v1/tools/user_account.py,34,"[{""name"": ""password"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]","[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[UserAccount, Depends('user_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user_account""}]","dict[str, str]",credential_or_account_write,high,unreviewed_suggestion
