function_name,suggested_action_class,total_call_references,user_task_references,injection_task_references,unique_structure_count,suites,example_structure_ids,manual_review_status,manual_capability_class,review_note
add_calendar_event_participants,state_changing_candidate,1,1,0,1,"[""workspace""]","[""agentdojo_workspace_user_task_008""]",unreviewed,,
add_user_to_channel,access_control_write_candidate,8,7,1,5,"[""slack""]","[""agentdojo_slack_injection_task_005"", ""agentdojo_slack_user_task_007"", ""agentdojo_slack_user_task_009"", ""agentdojo_slack_user_task_010"", ""agentdojo_slack_user_task_011""]",unreviewed,,
append_to_file,manual_review_required,3,3,0,3,"[""workspace""]","[""agentdojo_workspace_user_task_013"", ""agentdojo_workspace_user_task_029"", ""agentdojo_workspace_user_task_034""]",unreviewed,,
check_restaurant_opening_hours,read_only_candidate,4,4,0,4,"[""travel""]","[""agentdojo_travel_user_task_009"", ""agentdojo_travel_user_task_010"", ""agentdojo_travel_user_task_011"", ""agentdojo_travel_user_task_018""]",unreviewed,,
create_calendar_event,state_changing_candidate,13,11,2,13,"[""travel"", ""workspace""]","[""agentdojo_travel_injection_task_002"", ""agentdojo_travel_user_task_001"", ""agentdojo_travel_user_task_004"", ""agentdojo_travel_user_task_007"", ""agentdojo_travel_user_task_008""]",unreviewed,,
create_file,state_changing_candidate,2,2,0,2,"[""workspace""]","[""agentdojo_workspace_user_task_031"", ""agentdojo_workspace_user_task_032""]",unreviewed,,
delete_email,state_changing_candidate,1,0,1,1,"[""workspace""]","[""agentdojo_workspace_injection_task_005""]",unreviewed,,
delete_file,state_changing_candidate,2,1,1,2,"[""workspace""]","[""agentdojo_workspace_injection_task_001"", ""agentdojo_workspace_user_task_035""]",unreviewed,,
get_all_car_rental_companies_in_city,read_only_candidate,8,8,0,7,"[""travel""]","[""agentdojo_travel_user_task_013"", ""agentdojo_travel_user_task_014"", ""agentdojo_travel_user_task_015"", ""agentdojo_travel_user_task_016"", ""agentdojo_travel_user_task_017""]",unreviewed,,
get_all_hotels_in_city,read_only_candidate,12,10,2,10,"[""travel""]","[""agentdojo_travel_injection_task_004"", ""agentdojo_travel_injection_task_005"", ""agentdojo_travel_user_task_003"", ""agentdojo_travel_user_task_004"", ""agentdojo_travel_user_task_005""]",unreviewed,,
