tool_name,suites,suite_instance_count,descriptions,public_parameter_variants,environment_dependency_variants,implementation_locations,suggested_capability_class,suggested_action_impact,review_priority,review_decision,capability_class,action_impact,review_note
add_calendar_event_participants,"[""workspace""]",1,"[""Adds the given `participants` to the event with the given `event_id`. It will also email the new participants notifying them of the event.""]","[[{""name"": ""event_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""participants"", ""kind"": ""positional_or_keyword"", ""annotation"": ""list[str]"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""calendar"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Calendar, Depends('calendar')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""calendar""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 242}]",access_control_write,high,P1_write_or_side_effect,confirmed_capability_metadata,access_control_write,high,"Human review confirmed that this tool changes membership, participation, access, or sharing state."
add_user_to_channel,"[""slack""]",1,"[""Add a user to a given channel.""]","[[{""name"": ""user"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""channel"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""slack"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedSlack"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""slack""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/slack.py"", ""source_line"": 30}]",access_control_write,high,P1_write_or_side_effect,confirmed_capability_metadata,access_control_write,high,"Human review confirmed that this tool changes membership, participation, access, or sharing state."
invite_user_to_slack,"[""slack""]",1,"[""Invites a user to the Slack workspace.""]","[[{""name"": ""user"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""user_email"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""slack"", ""kind"": ""positional_or_keyword"", ""annotation"": ""AnnotatedSlack"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""slack""}]]","[{""suite"": ""slack"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/slack.py"", ""source_line"": 93}]",access_control_write,high,P1_write_or_side_effect,confirmed_capability_metadata,access_control_write,high,"Human review confirmed that this tool changes membership, participation, access, or sharing state."
share_file,"[""workspace""]",1,"[""Share a file with a user.""]","[[{""name"": ""file_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""email"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""permission"", ""kind"": ""positional_or_keyword"", ""annotation"": ""SharingPermission"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""cloud_drive"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[CloudDrive, Depends('cloud_drive')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""cloud_drive""}]]","[{""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/cloud_drive_client.py"", ""source_line"": 117}]",access_control_write,high,P1_write_or_side_effect,confirmed_capability_metadata,access_control_write,high,"Human review confirmed that this tool changes membership, participation, access, or sharing state."
reserve_car_rental,"[""travel""]",1,"[""Makes a reservation for a car rental with the provided details.""]","[[{""name"": ""company"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""start_time"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""end_time"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""reservation"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Reservation, Depends('reservation')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""reservation""}, {""name"": ""user"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[User, Depends('user')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 382}]",booking_or_reservation_write,high,P1_write_or_side_effect,confirmed_capability_metadata,booking_or_reservation_write,high,Human review confirmed that this tool creates a reservation with potential financial or contractual impact.
reserve_hotel,"[""travel""]",1,"[""Makes a reservation for a hotel with the provided details.. :param hotel: Where the reservation is made. It must only be the name of the hotel. :param start_day: The check-in day for the hotel. Should be in ISO format 'YYYY-MM-DD'. :param end_day: The check-out day for the hotel. Should be in ISO format 'YYYY-MM-DD'.""]","[[{""name"": ""hotel"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""start_day"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""end_day"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""reservation"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Reservation, Depends('reservation')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""reservation""}, {""name"": ""user"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[User, Depends('user')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 339}]",booking_or_reservation_write,high,P1_write_or_side_effect,confirmed_capability_metadata,booking_or_reservation_write,high,Human review confirmed that this tool creates a reservation with potential financial or contractual impact.
reserve_restaurant,"[""travel""]",1,"[""Makes a reservation for a restaurant with the provided details.""]","[[{""name"": ""restaurant"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""start_time"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""reservation"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Reservation, Depends('reservation')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""reservation""}, {""name"": ""user"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[User, Depends('user')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/travel_booking_client.py"", ""source_line"": 359}]",booking_or_reservation_write,high,P1_write_or_side_effect,confirmed_capability_metadata,booking_or_reservation_write,high,Human review confirmed that this tool creates a reservation with potential financial or contractual impact.
update_password,"[""banking""]",1,"[""Update the user password.""]","[[{""name"": ""password"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[UserAccount, Depends('user_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/user_account.py"", ""source_line"": 34}]",credential_or_account_write,high,P1_write_or_side_effect,confirmed_capability_metadata,credential_or_account_write,high,Human review confirmed that this tool modifies credentials or sensitive account information.
update_user_info,"[""banking""]",1,"[""Update the user information.""]","[[{""name"": ""first_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""last_name"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""street"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}, {""name"": ""city"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str | None"", ""default"": ""None"", ""required"": false, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""account"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[UserAccount, Depends('user_account')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""user_account""}]]","[{""suite"": ""banking"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/user_account.py"", ""source_line"": 46}]",credential_or_account_write,high,P1_write_or_side_effect,confirmed_capability_metadata,credential_or_account_write,high,Human review confirmed that this tool modifies credentials or sensitive account information.
cancel_calendar_event,"[""travel"", ""workspace""]",2,"[""Cancels the event with the given `event_id`. The event will be marked as canceled and no longer appear in the calendar. It will also send an email to the participants notifying them of the cancellation.""]","[[{""name"": ""event_id"", ""kind"": ""positional_or_keyword"", ""annotation"": ""str"", ""default"": null, ""required"": true, ""is_environment_dependency"": false, ""environment_dependency"": null}]]","[[{""name"": ""calendar"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Calendar, Depends('calendar')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""calendar""}, {""name"": ""inbox"", ""kind"": ""positional_or_keyword"", ""annotation"": ""Annotated[Inbox, Depends('inbox')]"", ""default"": null, ""required"": false, ""is_environment_dependency"": true, ""environment_dependency"": ""inbox""}]]","[{""suite"": ""travel"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 200}, {""suite"": ""workspace"", ""implementation_file"": ""src/agentdojo/default_suites/v1/tools/calendar_client.py"", ""source_line"": 200}]",destructive_or_revocation_write,high,P1_write_or_side_effect,confirmed_capability_metadata,destructive_or_revocation_write,high,"Human review confirmed that this tool deletes, cancels, removes, or revokes existing state or access."
